objectid,parentid,filename,title,format,date,location,latitude,longitude,artist_stage_name,creator,description,type,rights,rights_statement,genre,publisher,rpm,note,owner_of_object,call_number
vr001,,hozier_unreal_unearth.jpg,"Unreal Unearth",image/jpg,2023-08-18,"Dublin, Leinster Province, Ireland",53.323250,-6.267420,Hozier,"Hozier-Byrne, Andrew.","Unreal Unearth, Hozier's third studio album pressed on vinyl.",Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Alternative,Rubyworks,33 1/3,"Album cover is a mouth surrounded dirt with a daisy in the mouth. Symbolizes being buried alive. Based/Inspired by Dante's Inferno.",4th Gen.,5523814
vr002,vr001,hozier_unreal_unearth_a.jpg,"Unreal Unearth",image/jpg,,,,,,,,,,,,,,,,
vr003,,ghost_seven_inches_of_satanic_panic.jpg,"Seven Inches of Satanic Panic",image/jpg,2019-09-13,"Beverly Hills, California, United States",34.080292,-118.404678,Ghost,"Forge, Tobias; al Fakir, Salem; Pontare, Vincent.","Seven Inches of Satanic Panic, is the third EP by Ghost.",Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Metal,Loma Vista Records,45,"Both selections written and performed by Papa Emeritus Nihil and a group of nameless Ghouls. EP cover features character Papa Emeritus Nihil in a psychedelic style to represent the fictional timeline of when the EP was realeased which is 1969.",4th Gen.,LVR00739
vr004,vr003,ghost_seven_inches_of_satanic_panic_a.jpg,"Seven Inches of Satanic Panic",image/jpg,,,,,,,,,,,,,,,,
vr005,,sleeping_at_last_enneagram.jpg,"Enneagram",image/jpg,2019-07-11,"Chicago, Illinois, United States",41.878113,-87.629799,Sleeping at Last,"O'Neal, Ryan.","Enneagram is a complilation set from Sleeping at Last's eighth album.",Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Singer/Songwriter,Asteriod B-612,33 1/3,"Enneagram features 9 songs inspired by the 9 unique Enneagram personality types.",4th Gen.,N/A
vr006,vr005,sleeping_at_last_enneagram_a.jpg,"Enneagram",image/jpg,,,,,,,,,,,,,,,,
vr007,,billy_joel_52nd_street.jpg,"52nd Street",image/jpg,1978-10-11,"New York City, New York, United States",,,Billy Joel,"Joel, Billy.","52nd Street is the sixth studio album.",Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Pop,Columbia Records,33 1/3,"The title is a reference to 52nd Street in Midtown Manhattan as it was a popular spot for jazz musicians during the Great Depression. The cover is a photo of Joel holding a trumpet on 52nd Street in New York.",4th Gen.,19075939211A
vr008,vr007,billy_joel_52nd_street_a.jpg,"52nd Street",image/jpg,,,,,,,,,,,,,,,,
vr009,,queen_greatest_hits.jpg,"Greatest Hits",image/jpg,1981-10-26,"London, Greater London, England",51.509865,-0.118092,Queen,"Mercury, Freddie; Deacon, John; May, Brian; Taylor, Roger.",T,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Rock,EMI,33 1/3,"There is no universal track listing or cover art for the album. Each territory is different based on what singles were popular in that territory.",4th Gen.,D00244970
vr010,vr009,queen_greatest_hits_a.jpg,"Greatest Hits",image/jpg,,,,,,,,,,,,,,,,
